v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,i want to grasp your pretty booty :),,,
ham,Takin a shower now but yeah I'll leave when I'm done,,,
ham,Hows the champ just leaving glasgow!,,,
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",,,
ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",,,
ham,I will reach ur home in  &lt;#&gt;  minutes,,,
ham,Gokila is talking with you aha:),,,
spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,,,
ham,Ok... The theory test? when are Ì_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,,,
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,,,
ham,Still in the area of the restaurant. Ill try to come back soon,,,
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),,,
ham,Kay... Since we are out already ,,,
ham,"Sorry, I'll call later",,,
spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,,,
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,,,
ham,U still havent got urself a jacket ah?,,,
ham,Thanks for picking up the trash.,,,
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,,,
ham,I just saw ron burgundy captaining a party boat so yeah,,,
ham,"\Are you comingdown later?\""""",,,
ham,Ok no prob. Take ur time.,,,
ham,Lovely smell on this bus and it ain't tobacco... ,,,
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",,,
ham,Ok.ok ok..then..whats ur todays plan,,,
ham,Are you not around or just still asleep? :V,,,
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,,,
ham,"I can't, I don't have her number!",,,
ham,Excellent! Wish we were together right now!,,,
ham,"Oh... Icic... K lor, den meet other day...",,,
ham,I have a rather prominent bite mark on my right cheek,,,
ham,U buy newspapers already?,,,
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",,,
ham,"\Thinking of u ;) x\""""",,,
ham,Short But Cute : \ Be a good person ," but dont try to prove\"" ..... Gud mrng...""",,
ham,Yeah confirmed for you staying at  that weekend,,,
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,,,
spam,You have 1 new message. Call 0207-083-6089,,,
ham,Was actually about to send you a reminder today. Have a wonderful weekend,,,
ham,"Just wondering, the others just took off",,,
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",,,
ham,Have you started in skye,,,
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,,,
ham,But that's on ebay it might be less elsewhere.,,,
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
spam,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,,,
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,,,
ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",,,
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",,,
ham,Onum ela pa. Normal than.,,,
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,
ham,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng""",,,
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,,,
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,,,
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,,,
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ",,,
ham,Well I'm going to be an aunty!,,,
ham,"It'll be tough, but I'll do what I have to",,,
ham,Call me when u finish then i come n pick u.,,,
ham,Oic... I saw him too but i tot he din c me... I found a group liao...,,,
ham,Are there TA jobs available? Let me know please cos i really need to start working,,,
ham,"Aight, you close by or still down around alex's place?",,,
ham,U too...,,,
ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",,,
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,,,
ham,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,,,
ham,He needs to stop going to bed and make with the fucking dealing,,,
ham,How come i din c Ì_... Yup i cut my hair...,,,
ham,Oh ok wait 4 me there... My lect havent finish,,,
ham,Can not use foreign stamps in this country.,,,
ham,You will be in the place of that man,,,
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",,,
ham,I gotta collect da car at 6 lei.,,,
ham,Should I head straight there or what,,,
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...",,,
ham,Don know:)this week i'm going to tirunelvai da.,,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
ham,I want to be there so i can kiss you and feel you next to me,,,
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,
spam,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save å£s with Free texts/weekend calls. Text YES for a callback orno to opt out,,,
ham,i can call in  &lt;#&gt;  min if thats ok,,,
ham,Great. So should i send you my account number.,,,
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",,,
ham,have got * few things to do. may be in * pub later.,,,
ham,Beauty sleep can help ur pimples too.,,,
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,,,
spam,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",,,
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,
ham,Oh yah... We never cancel leh... Haha ,,,
ham,soon you will have the real thing princess! Do i make you wet? :),,,
ham,In sch but neva mind u eat 1st lor..,,,
ham,I called but no one pick up e phone. I ask both of them already they said ok.,,,
ham,Shhhhh nobody is supposed to know!,,,
ham,Its ok..come to my home it vl nice to meet and v can chat..,,,
ham,"Aight will do, thanks again for comin out",,,
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,,,
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",,,
ham,Is that seriously how you spell his name?,,,
ham,Ok...,,,
ham,"IÛ÷ll leave around four, ok?",,,
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
ham,ÌÏ come lt 25 n pass to me lar,,,
ham,No dear i was sleeping :-P,,,
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,,,
ham,"Well, I was about to give up cos they all said no they didnÛ÷t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",,,
ham,But i haf enuff space got like 4 mb...,,,
ham,Anytime lor...,,,
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",,,
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",,,
ham,K..k:)where are you?how did you performed?,,,
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
ham,Pls accept me for one day. Or am begging you change the number.,,,
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt",,,
spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",,,
ham,Yeah we do totes. When u wanna?,,,
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),,,
ham,I went to project centre,,,
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",,,
ham,Thts god's gift for birds as humans hav some natural gift frm god..,,,
ham,I have lost 10 kilos as of today!,,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,,,
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,,,
ham,Why nothing. Ok anyway give me treat,,,
ham,Watching telugu movie..wat abt u?,,,
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
ham,Ok.,,,
ham,I forgot 2 ask Ì_ all smth.. There's a card on da present lei... How? ÌÏ all want 2 write smth or sign on it?,,,
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),,,
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,,,
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",,,
ham,Does uncle timi help in clearing cars,,,
ham,Pls speak to that customer machan.,,,
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,,,
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
ham,... Are you in the pub?,,,
ham,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),,,
ham,Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.,,,
ham,Lol yeah at this point I guess not,,,
ham,Are you planning to come chennai?,,,
ham,Ok lor. Msg me b4 u call.,,,
ham,Me fine..absolutly fine,,,
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,,,
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up",,,
spam,PRIVATE! Your 2003 Account Statement for 078,,,
ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;,,,
ham,I just cooked a rather nice salmon a la you,,,
